Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1476,Loïs Openda,be BEL,"FW,DF",Juventus,it Serie A,25.0,2000,3,1,114,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,14,0.00,0.08,1476,be BEL,"FW,DF",it Serie A,25-225,2000,1.3,0,3,1,33.3,2.37,0.79,0.00,0.00,20.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,1476,be BEL,"FW,DF",it Serie A,25-225,2000,1.3,28,39,71.8,382,84,0,0.0,0.1,0.0,1,4,1,1,1,1476,be BEL,"FW,DF",it Serie A,25-225,2000,1.3,39,34,5,0,1,0,3,3,0,0,0,0,28,0,0,1476,be BEL,"FW,DF",it Serie A,25-225,2000,1.3,4,3.13,2,0,1,0,1,0,2,1.57,1476,be BEL,"FW,DF",it Serie A,25-225,2000,1.3,2,2,2,0,0,0,,0,1,0,1,0,2,1,0,1476,be BEL,"FW,DF",it Serie A,25-225,2000,1.3,54,1,8,22,24,5,54,3,2,66.7,1,33.3,33,164,35,1,0,0,2,0,40,14,1833,be BEL,"FW,DF",it Serie A,25-225,2000,3,114,38,25.3,1.3,1,64,1,2,25,0,1.67,2,2,0,0.00,-1.07,0.9,1.1,-0.2,-0.18,1476,be BEL,"FW,DF",it Serie A,25-225,2000,1.3,0,0,0,1,4,3,3,0,2,0,0,0,0,3,4,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477,Loïs Openda,be BEL,FW,RB Leipzig,de Bundesliga,25.0,2000,2,1,50,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,6,0.00,0.26,1477,be BEL,FW,de Bundesliga,25-225,2000,0.6,0,3,0,0.0,5.40,0.00,0.00,,18.1,1,0,0,0.1,0.1,0.04,-0.1,-0.1,1477,be BEL,FW,de Bundesliga,25-225,2000,0.6,13,16,81.3,204,12,0,0.0,0.3,0.0,1,0,2,0,2,1477,be BEL,FW,de Bundesliga,25-225,2000,0.6,16,13,3,0,0,0,1,0,0,0,0,0,13,0,0,1477,be BEL,FW,de Bundesliga,25-225,2000,0.6,5,8.82,2,0,1,1,1,0,0,0.00,1477,be BEL,FW,de Bundesliga,25-225,2000,0.6,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,1477,be BEL,FW,de Bundesliga,25-225,2000,0.6,27,0,2,14,12,3,27,3,1,33.3,2,66.7,11,42,19,0,0,0,3,0,12,6,1834,be BEL,FW,de Bundesliga,25-225,2000,2,50,25,11.1,0.6,1,45,1,1,5,0,1.50,0,3,-3,-5.40,-6.08,0.6,1.0,-0.4,-0.71,1477,be BEL,FW,de Bundesliga,25-225,2000,0.6,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1478,Fredrik Oppegard,no NOR,DF,Auxerre,fr Ligue 1,23.0,2002,4,2,187,2.1,0,0,0,0,0,0,1,1,0.0,0.0,0.1,0.1,3,3,11,0.00,0.04,1478,no NOR,DF,fr Ligue 1,23-053,2002,2.1,0,1,0,0.0,0.48,0.00,0.00,,16.1,0,0,0,0.0,0.0,0.04,0.0,0.0,1478,no NOR,DF,fr Ligue 1,23-053,2002,2.1,55,80,68.8,835,204,0,0.1,0.1,-0.1,2,4,3,2,3,1478,no NOR,DF,fr Ligue 1,23-053,2002,2.1,80,63,17,3,0,1,11,13,1,0,1,0,55,0,2,1478,no NOR,DF,fr Ligue 1,23-053,2002,2.1,2,0.95,2,0,0,0,0,0,0,0.00,1478,no NOR,DF,fr Ligue 1,23-053,2002,2.1,9,5,6,3,0,6,100.0,0,2,1,1,2,11,7,0,1478,no NOR,DF,fr Ligue 1,23-053,2002,2.1,105,8,33,48,27,1,105,5,3,60.0,2,40.0,48,233,144,3,4,0,3,0,52,11,1836,no NOR,DF,fr Ligue 1,23-053,2002,4,187,47,34.6,2.1,2,77,1,2,17,0,1.20,2,3,-1,-0.48,+0.28,2.0,4.5,-2.5,-1.17,1478,no NOR,DF,fr Ligue 1,23-053,2002,2.1,1,1,0,1,0,0,11,2,5,0,0,0,7,0,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1479,Louis Oppie,de GER,DF,St. Pauli,de Bundesliga,23.0,2002,5,5,450,5.0,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,7,12,24,0.00,0.08,1479,de GER,DF,de Bundesliga,23-135,2002,5.0,0,7,2,28.6,1.40,0.40,0.00,0.00,21.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4,1479,de GER,DF,de Bundesliga,23-135,2002,5.0,174,224,77.7,2585,836,0,0.0,0.2,0.0,1,15,1,1,12,1479,de GER,DF,de Bundesliga,23-135,2002,5.0,224,177,46,4,0,2,8,42,0,0,0,0,174,1,8,1479,de GER,DF,de Bundesliga,23-135,2002,5.0,7,1.40,4,1,0,1,1,0,0,0.00,1479,de GER,DF,de Bundesliga,23-135,2002,5.0,11,8,4,4,3,10,70.0,3,7,0,7,1,12,11,1,1479,de GER,DF,de Bundesliga,23-135,2002,5.0,273,9,67,117,92,7,273,4,1,25.0,3,75.0,93,393,199,7,4,0,4,2,143,24,1837,de GER,DF,de Bundesliga,23-135,2002,5,450,90,100.0,5.0,5,90,5,0,,0,1.40,8,8,0,0.00,,6.2,5.7,+0.6,+0.11,1479,de GER,DF,de Bundesliga,23-135,2002,5.0,0,0,0,6,6,1,8,1,8,0,0,0,18,0,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480,Gift Orban,ng NGA,FW,Hellas Verona,it Serie A,23.0,2002,3,3,260,2.9,1,0,1,0,1,1,1,0,2.7,1.9,0.0,1.9,5,4,22,0.00,0.94,1480,ng NGA,FW,it Serie A,23-074,2002,2.9,1,16,6,37.5,5.54,2.08,0.00,0.00,24.7,1,1,1,2.7,1.9,0.12,-1.7,-1.9,1480,ng NGA,FW,it Serie A,23-074,2002,2.9,26,46,56.5,368,133,0,0.0,0.1,0.0,2,2,1,0,4,1480,ng NGA,FW,it Serie A,23-074,2002,2.9,46,42,3,0,0,0,0,0,0,0,0,0,26,1,0,1480,ng NGA,FW,it Serie A,23-074,2002,2.9,5,1.74,3,0,0,2,0,0,0,0.00,1480,ng NGA,FW,it Serie A,23-074,2002,2.9,1,1,1,0,0,2,50.0,1,0,0,0,1,2,1,0,1480,ng NGA,FW,it Serie A,23-074,2002,2.9,85,0,10,32,44,11,84,5,2,40.0,3,60.0,53,272,142,5,2,3,10,4,59,22,1838,ng NGA,FW,it Serie A,23-074,2002,3,260,87,57.8,2.9,3,87,3,0,,0,0.67,1,3,-2,-0.69,+1.20,4.2,1.6,+2.5,+0.89,1480,ng NGA,FW,it Serie A,23-074,2002,2.9,1,0,0,6,1,2,0,1,1,0,0,0,13,5,5,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1481,Willi Orban,hu HUN,DF,RB Leipzig,de Bundesliga,32.0,1992,5,5,450,5.0,0,0,0,0,0,0,2,0,0.5,0.5,0.2,0.7,1,10,2,0.00,0.14,1481,hu HUN,DF,de Bundesliga,32-330,1992,5.0,0,3,0,0.0,0.60,0.00,0.00,,7.3,0,0,0,0.5,0.5,0.16,-0.5,-0.5,1481,hu HUN,DF,de Bundesliga,32-330,1992,5.0,203,224,90.6,3800,1109,0,0.2,0.1,-0.2,2,11,1,0,10,1481,hu HUN,DF,de Bundesliga,32-330,1992,5.0,224,212,11,9,0,1,0,2,0,0,0,0,203,1,0,1481,hu HUN,DF,de Bundesliga,32-330,1992,5.0,5,1.00,4,1,0,0,0,0,0,0.00,1481,hu HUN,DF,de Bundesliga,32-330,1992,5.0,5,5,3,2,0,2,100.0,0,18,10,8,4,9,44,0,1481,hu HUN,DF,de Bundesliga,32-330,1992,5.0,311,57,155,142,15,6,311,1,1,100.0,0,0.0,165,655,338,1,1,0,1,0,176,2,1839,hu HUN,DF,de Bundesliga,32-330,1992,5,450,90,100.0,5.0,5,90,5,0,,0,2.40,7,7,0,0.00,,10.0,8.4,+1.6,+0.32,1481,hu HUN,DF,de Bundesliga,32-330,1992,5.0,2,0,0,4,5,1,0,4,5,0,0,0,7,18,10,64.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1482,Christian Ordoñez,ar ARG,MF,Parma,it Serie A,21.0,2004,4,2,117,1.3,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,1,0,0.00,0.11,1482,ar ARG,MF,it Serie A,21-067,2004,1.3,0,1,0,0.0,0.77,0.00,0.00,,10.1,0,0,0,0.1,0.1,0.14,-0.1,-0.1,1482,ar ARG,MF,it Serie A,21-067,2004,1.3,22,31,71.0,346,54,0,0.0,0.0,0.0,0,0,0,0,1,1482,ar ARG,MF,it Serie A,21-067,2004,1.3,31,26,5,2,0,0,3,0,3,3,0,0,22,0,0,1482,ar ARG,MF,it Serie A,21-067,2004,1.3,1,0.76,0,0,0,1,0,0,0,0.00,1482,ar ARG,MF,it Serie A,21-067,2004,1.3,1,1,0,1,0,3,33.3,2,5,2,3,1,2,0,0,1482,ar ARG,MF,it Serie A,21-067,2004,1.3,46,1,10,22,14,2,46,1,0,0.0,1,100.0,16,45,7,0,0,0,4,0,17,0,1840,ar ARG,MF,it Serie A,21-067,2004,4,117,29,32.5,1.3,2,51,2,2,8,0,0.50,1,1,0,0.00,+1.48,2.3,2.1,+0.1,+0.11,1482,ar ARG,MF,it Serie A,21-067,2004,1.3,1,0,0,3,1,0,3,1,1,0,0,0,3,2,4,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1483,Gaetano Oristanio,it ITA,"MF,FW",Parma,it Serie A,23.0,2002,3,0,101,1.1,0,0,0,0,0,0,1,0,0.5,0.5,0.3,0.7,5,2,10,0.00,0.65,1483,it ITA,"MF,FW",it Serie A,23-001,2002,1.1,0,4,0,0.0,3.56,0.00,0.00,,14.3,0,0,0,0.5,0.5,0.12,-0.5,-0.5,1483,it ITA,"MF,FW",it Serie A,23-001,2002,1.1,18,22,81.8,285,80,0,0.3,0.2,-0.3,2,1,2,2,2,1483,it ITA,"MF,FW",it Serie A,23-001,2002,1.1,22,22,0,0,0,0,5,0,0,0,0,0,18,0,0,1483,it ITA,"MF,FW",it Serie A,23-001,2002,1.1,5,4.37,3,0,1,0,1,0,0,0.00,1483,it ITA,"MF,FW",it Serie A,23-001,2002,1.1,2,2,2,0,0,1,100.0,0,0,0,0,0,2,0,0,1483,it ITA,"MF,FW",it Serie A,23-001,2002,1.1,37,1,2,11,24,4,37,8,2,25.0,2,25.0,31,239,132,5,4,1,1,1,31,10,1841,it ITA,"MF,FW",it Serie A,23-001,2002,3,101,34,28.1,1.1,0,,0,3,34,0,0.67,1,2,-1,-0.89,+0.15,1.9,1.0,+0.9,+0.82,1483,it ITA,"MF,FW",it Serie A,23-001,2002,1.1,1,0,0,3,8,0,5,0,2,0,0,0,4,1,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484,Aimar Oroz,es ESP,"FW,MF",Osasuna,es La Liga,23.0,2001,4,4,316,3.5,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.5,11,16,19,0.00,0.16,1484,es ESP,"FW,MF",es La Liga,23-306,2001,3.5,0,4,0,0.0,1.14,0.00,0.00,,22.2,2,0,0,0.3,0.3,0.07,-0.3,-0.3,1484,es ESP,"FW,MF",es La Liga,23-306,2001,3.5,113,136,83.1,1747,380,0,0.3,0.4,-0.3,6,7,4,0,16,1484,es ESP,"FW,MF",es La Liga,23-306,2001,3.5,136,132,4,1,2,4,3,0,0,0,0,0,113,0,4,1484,es ESP,"FW,MF",es La Liga,23-306,2001,3.5,14,4.03,11,0,1,1,1,0,1,0.29,1484,es ESP,"FW,MF",es La Liga,23-306,2001,3.5,8,6,5,3,0,4,50.0,2,2,0,2,2,10,4,0,1484,es ESP,"FW,MF",es La Liga,23-306,2001,3.5,179,5,30,86,68,5,179,11,4,36.4,7,63.6,112,737,380,11,11,4,4,6,123,19,1842,es ESP,"FW,MF",es La Liga,23-306,2001,4,316,79,50.2,3.5,4,79,4,0,,0,1.50,2,2,0,0.00,+0.57,3.1,3.9,-0.8,-0.24,1484,es ESP,"FW,MF",es La Liga,23-306,2001,3.5,1,0,0,3,6,0,3,2,6,0,0,0,21,3,5,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485,Riccardo Orsolini,it ITA,FW,Bologna,it Serie A,28.0,1997,5,5,406,4.5,3,0,3,1,2,2,0,0,2.4,0.8,0.2,1.0,12,10,28,0.22,0.58,1485,it ITA,FW,it Serie A,28-248,1997,4.5,3,13,6,46.2,2.88,1.33,0.08,0.17,20.7,1,2,2,2.4,0.8,0.06,+0.6,+0.2,1485,it ITA,FW,it Serie A,28-248,1997,4.5,51,97,52.6,986,325,0,0.2,0.1,-0.2,3,5,5,0,10,1485,it ITA,FW,it Serie A,28-248,1997,4.5,97,90,5,1,1,1,9,1,3,1,0,0,51,2,5,1485,it ITA,FW,it Serie A,28-248,1997,4.5,8,1.78,7,0,0,1,0,0,0,0.00,1485,it ITA,FW,it Serie A,28-248,1997,4.5,7,5,4,3,0,6,83.3,1,1,0,1,3,10,1,0,1485,it ITA,FW,it Serie A,28-248,1997,4.5,145,2,15,67,65,18,143,17,5,29.4,9,52.9,95,640,269,12,3,8,8,8,108,28,1843,it ITA,FW,it Serie A,28-248,1997,5,406,81,90.2,4.5,5,81,5,0,,0,1.40,4,4,0,0.00,0.00,4.4,4.7,-0.3,-0.07,1485,it ITA,FW,it Serie A,28-248,1997,4.5,0,0,0,3,9,5,9,3,5,0,0,0,11,7,1,87.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486,Ángel Ortíz,es ESP,DF,Betis,es La Liga,21.0,2004,2,1,101,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,1486,es ESP,DF,es La Liga,21-066,2004,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,1486,es ESP,DF,es La Liga,21-066,2004,1.1,37,46,80.4,498,185,0,0.0,0.0,0.0,0,2,0,0,2,1486,es ESP,DF,es La Liga,21-066,2004,1.1,46,35,11,1,0,0,0,10,0,0,0,0,37,0,1,1486,es ESP,DF,es La Liga,21-066,2004,1.1,0,0.00,0,0,0,0,0,0,0,0.00,1486,es ESP,DF,es La Liga,21-066,2004,1.1,5,3,3,2,0,6,66.7,2,0,0,0,1,6,6,0,1486,es ESP,DF,es La Liga,21-066,2004,1.1,61,5,25,29,9,1,61,3,2,66.7,0,0.0,32,171,114,1,2,0,1,1,29,0,1845,es ESP,DF,es La Liga,21-066,2004,2,101,51,16.0,1.1,1,88,1,1,13,5,1.50,0,2,-2,-1.78,-2.80,0.4,1.3,-0.9,-0.81,1486,es ESP,DF,es La Liga,21-066,2004,1.1,0,0,0,2,1,0,0,1,3,0,0,0,5,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,Asier Osambela,es ESP,MF,Osasuna,es La Liga,21.0,2004,3,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,1,0.00,0.20,1487,es ESP,MF,es La Liga,21-233,2004,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,1487,es ESP,MF,es La Liga,21-233,2004,0.6,13,23,56.5,209,106,0,0.1,0.1,-0.1,1,3,0,0,2,1487,es ESP,MF,es La Liga,21-233,2004,0.6,23,23,0,0,0,0,0,0,0,0,0,0,13,0,0,1487,es ESP,MF,es La Liga,21-233,2004,0.6,2,3.00,2,0,0,0,0,0,0,0.00,1487,es ESP,MF,es La Liga,21-233,2004,0.6,2,1,2,0,0,3,66.7,1,2,1,1,1,3,4,0,1487,es ESP,MF,es La Liga,21-233,2004,0.6,35,3,7,24,4,1,35,1,0,0.0,1,100.0,13,20,7,0,1,0,2,0,20,1,1846,es ESP,MF,es La Liga,21-233,2004,3,58,19,9.2,0.6,0,,0,3,19,4,1.00,0,2,-2,-3.10,-3.10,0.7,1.6,-0.9,-1.35,1487,es ESP,MF,es La Liga,21-233,2004,0.6,0,0,0,2,0,0,0,1,1,0,0,0,3,4,1,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488,Gabriel Osho,ng NGA,DF,Auxerre,fr Ligue 1,27.0,1998,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,1488,ng NGA,DF,fr Ligue 1,27-046,1998,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,1488,ng NGA,DF,fr Ligue 1,27-046,1998,1.5,70,77,90.9,1290,327,0,0.0,0.0,0.0,0,5,0,0,3,1488,ng NGA,DF,fr Ligue 1,27-046,1998,1.5,77,74,3,2,0,0,2,1,0,0,0,0,70,0,1,1488,ng NGA,DF,fr Ligue 1,27-046,1998,1.5,0,0.00,0,0,0,0,0,0,0,0.00,1488,ng NGA,DF,fr Ligue 1,27-046,1998,1.5,3,2,3,0,0,0,,0,6,2,4,1,4,2,1,1488,ng NGA,DF,fr Ligue 1,27-046,1998,1.5,90,3,46,41,3,0,90,0,0,,0,,61,196,74,0,1,0,0,0,62,0,1847,ng NGA,DF,fr Ligue 1,27-046,1998,2,135,68,25.0,1.5,2,68,2,0,,0,1.50,2,2,0,0.00,+0.89,2.3,1.7,+0.5,+0.35,1488,ng NGA,DF,fr Ligue 1,27-046,1998,1.5,0,0,0,2,1,0,2,1,2,0,0,0,3,2,3,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489,Ibrahim Osman,gh GHA,"MF,FW",Auxerre,fr Ligue 1,20.0,2004,4,3,233,2.6,0,2,2,0,0,0,0,0,0.7,0.7,0.5,1.2,10,4,21,0.77,0.47,1489,gh GHA,"MF,FW",fr Ligue 1,20-304,2004,2.6,0,6,3,50.0,2.32,1.16,0.00,0.00,18.4,0,0,0,0.7,0.7,0.11,-0.7,-0.7,1489,gh GHA,"MF,FW",fr Ligue 1,20-304,2004,2.6,42,62,67.7,573,124,2,0.5,0.3,+1.5,5,3,2,0,4,1489,gh GHA,"MF,FW",fr Ligue 1,20-304,2004,2.6,62,60,2,0,0,0,3,0,0,0,0,0,42,0,7,1489,gh GHA,"MF,FW",fr Ligue 1,20-304,2004,2.6,9,3.49,7,0,0,1,1,0,2,0.78,1489,gh GHA,"MF,FW",fr Ligue 1,20-304,2004,2.6,3,2,0,3,0,2,100.0,0,3,0,3,1,4,1,0,1489,gh GHA,"MF,FW",fr Ligue 1,20-304,2004,2.6,100,2,7,34,63,10,100,15,5,33.3,8,53.3,66,531,253,10,7,5,6,4,72,21,1848,gh GHA,"MF,FW",fr Ligue 1,20-304,2004,4,233,58,43.1,2.6,3,72,3,1,16,1,0.60,2,3,-1,-0.39,+0.49,3.8,2.6,+1.2,+0.47,1489,gh GHA,"MF,FW",fr Ligue 1,20-304,2004,2.6,0,0,0,3,2,1,3,1,2,0,0,0,11,2,4,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490,Patrick Osterhage,de GER,MF,Freiburg,de Bundesliga,25.0,2000,3,3,259,2.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,2,5,6,0.00,0.08,1490,de GER,MF,de Bundesliga,25-240,2000,2.9,0,3,0,0.0,1.04,0.00,0.00,,16.3,0,0,0,0.2,0.2,0.07,-0.2,-0.2,1490,de GER,MF,de Bundesliga,25-240,2000,2.9,62,77,80.5,973,213,0,0.0,0.3,0.0,0,3,1,0,5,1490,de GER,MF,de Bundesliga,25-240,2000,2.9,77,72,5,4,0,0,0,1,0,0,0,0,62,0,1,1490,de GER,MF,de Bundesliga,25-240,2000,2.9,3,1.05,2,0,1,0,0,0,0,0.00,1490,de GER,MF,de Bundesliga,25-240,2000,2.9,2,1,1,1,0,3,66.7,1,6,4,2,3,5,0,0,1490,de GER,MF,de Bundesliga,25-240,2000,2.9,105,7,23,58,25,5,105,4,2,50.0,1,25.0,49,206,98,2,2,1,6,2,58,6,1849,de GER,MF,de Bundesliga,25-240,2000,3,259,86,57.6,2.9,3,86,3,0,,0,2.33,5,2,+3,+1.04,+2.46,3.8,4.0,-0.2,-0.07,1490,de GER,MF,de Bundesliga,25-240,2000,2.9,1,0,0,4,6,0,0,3,1,0,0,0,5,2,6,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491,William Osula,dk DEN,FW,Newcastle Utd,eng Premier League,22.0,2003,5,1,158,1.8,1,0,1,1,0,0,0,0,0.4,0.4,0.1,0.5,1,1,10,0.57,0.27,1491,dk DEN,FW,eng Premier League,22-056,2003,1.8,1,3,1,33.3,1.71,0.57,0.33,1.00,14.1,0,0,0,0.4,0.4,0.13,+0.6,+0.6,1491,dk DEN,FW,eng Premier League,22-056,2003,1.8,16,19,84.2,209,16,0,0.1,0.0,-0.1,1,0,0,0,1,1491,dk DEN,FW,eng Premier League,22-056,2003,1.8,19,17,2,0,0,0,0,0,0,0,0,0,16,0,1,1491,dk DEN,FW,eng Premier League,22-056,2003,1.8,1,0.55,1,0,0,0,0,0,0,0.00,1491,dk DEN,FW,eng Premier League,22-056,2003,1.8,1,0,0,1,0,0,,0,1,1,0,0,1,0,0,1491,dk DEN,FW,eng Premier League,22-056,2003,1.8,46,2,7,27,13,5,46,5,2,40.0,2,40.0,28,107,21,1,0,1,6,1,33,10,1850,dk DEN,FW,eng Premier League,22-056,2003,5,158,32,29.3,1.8,1,90,1,4,17,0,1.00,1,3,-2,-1.14,-1.37,0.9,1.7,-0.8,-0.44,1491,dk DEN,FW,eng Premier League,22-056,2003,1.8,0,0,0,11,1,0,0,0,0,0,0,0,4,4,6,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
